item_name,rank_median_execution_time_median,median_execution_time_median,rank_median_execution_time_mean,median_execution_time_mean,rank_median_execution_time_std,median_execution_time_std,rank_median_execution_time_IQR,median_execution_time_IQR
perf_instructions_3,24.0,6.235228963487316,27.181818181818183,6.071001540655164,10.943657357740891,3.2184855316240504,18.5,3.6825116047111806
perf_instructions_4,37.0,6.770392644510139,32.18181818181818,6.422913574140562,19.35364659085301,3.747182599509275,29.0,4.614934838743647
perf_instructions_5,34.0,4.8660372529993765,34.63636363636363,5.721192354767647,11.977251164375968,2.978242979295086,13.5,3.570534696962568
perf_task_clock_1,65.0,9.390632861410268,58.09090909090909,10.43259706382047,19.63901497252113,4.993658993670005,7.0,6.870382366410922
perf_task_clock_2,66.0,9.496556779486127,63.36363636363637,10.920082605285147,5.482202609767852,5.453214491846925,10.0,8.78216491965577
perf_task_clock_3,62.0,9.316393151995726,61.27272727272727,11.211516321721403,5.8667011018273145,5.646713412052293,9.0,7.5905485897674225
perf_task_clock_4,60.0,9.351589806610718,57.72727272727273,11.848935489902612,19.386030584371362,7.5113648358255265,10.5,10.49511668930063
perf_task_clock_5,63.0,8.835373544483446,62.0,9.339717904507944,7.886697661252141,5.473407520348516,15.0,7.175883672840428
perf_time_1,18.0,4.870868083002279,20.09090909090909,5.326904066954243,14.265023977929694,2.2019888582258598,19.5,3.086181582755671
perf_time_2,29.0,5.40561157243792,27.636363636363637,5.888761074636767,17.24687059888099,3.4240167829755332,20.0,3.7322697710769717
perf_time_3,21.0,4.734836065006675,25.90909090909091,5.9808122714510485,15.788948954598247,3.275951049510657,23.0,4.698664963263582
perf_time_4,30.0,6.580670081501012,29.818181818181817,6.670383302084454,16.08613180238296,3.611140541474988,22.0,3.663006554761523
perf_time_5,20.0,5.084541922013159,21.818181818181817,5.649308823142664,13.467131705141831,2.8268097077761256,16.0,3.481951798985392
time_1,10.0,4.87319497099088,17.818181818181817,4.847534809088219,16.473118598602888,2.3526463851320956,26.0,4.050042159053191
time_2,24.0,4.4952127284923336,24.727272727272727,5.431334088212597,17.234215439589406,2.9897019655058332,29.5,4.473688521002259
time_3,22.0,4.459811962005915,26.636363636363637,5.522972186408424,12.476159082608135,2.9382072034471642,12.5,4.031536822249109
time_4,30.0,4.872739789512707,27.454545454545453,5.245144905003971,14.610705912882075,2.590311937163041,24.0,4.537775572254304
time_5,30.0,5.115163199487142,29.454545454545453,6.526689465725295,18.843373564007248,3.648002645020017,32.0,3.658982798260695
weights_1,52.0,5.64643567299936,39.72727272727273,5.801249054588632,22.00495811898268,2.163999098214123,39.5,3.0532716737361625
weights_2,48.0,6.621029082045425,45.36363636363637,6.7669593762786295,18.001515087751514,2.56901610046579,21.5,2.824541655223584
weights_3,47.0,6.65769572352292,43.54545454545455,7.143132930856981,18.86988943456552,4.713261341542685,20.0,3.3452817022189265
weights_4,48.0,7.115980844013393,43.72727272727273,7.369061099825723,15.219007254685891,3.0029053280556437,26.0,3.2034106117789634
weights_5,63.0,8.170860026497394,54.90909090909091,7.2409962802956045,15.188512405463186,2.7860902025409753,18.0,3.1708996124914854
