item_name,number_of_steps,number_of_retries,percentage_decrease
perf_cpu_clock,61,5,75.6
perf_task_clock,273,1,0
perf_task_clock,106,2,61.172161172161175
perf_task_clock,304,3,-11.355311355311356
perf_task_clock,71,4,73.992673992674
perf_task_clock,30,5,89.01098901098901
perf_faults,1000,1,0
perf_faults,354,2,64.60000000000001
perf_faults,209,3,79.10000000000001
perf_faults,276,4,72.39999999999999
perf_faults,111,5,88.9
weights,725,1,0
weights,196,2,72.9655172413793
weights,193,3,73.37931034482759
weights,79,4,89.10344827586208
weights,60,5,91.72413793103448
energy,281,1,0
energy,243,2,13.523131672597867
energy,166,3,40.92526690391459
energy,118,4,58.00711743772242
energy,79,5,71.88612099644128
perf_L1_dcache_loads,799,1,0
perf_L1_dcache_loads,424,2,46.93366708385482
perf_L1_dcache_loads,234,3,70.71339173967459
perf_L1_dcache_loads,174,4,78.22277847309135
perf_L1_dcache_loads,127,5,84.10513141426783
time,277,1,0
time,221,2,20.216606498194945
time,182,3,34.29602888086642
time,155,4,44.04332129963899
time,145,5,47.65342960288809
perf_time,301,1,0
perf_time,242,2,19.601328903654487
perf_time,187,3,37.87375415282392
perf_time,164,4,45.51495016611295
perf_time,147,5,51.162790697674424
perf_instructions,276,1,0
perf_instructions,215,2,22.10144927536232
perf_instructions,198,3,28.26086956521739
perf_instructions,171,4,38.04347826086957
perf_instructions,138,5,50.0
perf_cycles,294,1,0
perf_cycles,223,2,24.149659863945576
perf_cycles,205,3,30.272108843537417
perf_cycles,161,4,45.23809523809524
perf_cycles,145,5,50.68027210884354
perf_cache_references,281,1,0
perf_cache_references,209,2,25.622775800711743
perf_cache_references,193,3,31.316725978647685
perf_cache_references,172,4,38.79003558718861
perf_cache_references,148,5,47.330960854092524
perf_cache_misses,280,1,0
perf_cache_misses,226,2,19.28571428571429
perf_cache_misses,200,3,28.57142857142857
perf_cache_misses,162,4,42.142857142857146
perf_cache_misses,157,5,43.92857142857143
perf_branches,258,1,0
perf_branches,219,2,15.11627906976744
perf_branches,188,3,27.131782945736433
perf_branches,158,4,38.759689922480625
perf_branches,141,5,45.348837209302324
perf_branch_misses,284,1,0
perf_branch_misses,238,2,16.19718309859155
perf_branch_misses,176,3,38.028169014084504
perf_branch_misses,148,4,47.88732394366197
perf_branch_misses,145,5,48.943661971830984
perf_cpu_clock,209,1,0
perf_cpu_clock,216,2,-3.349282296650718
perf_cpu_clock,187,3,10.526315789473683
perf_cpu_clock,111,4,46.889952153110045
perf_cpu_clock,133,5,36.36363636363637
perf_task_clock,257,1,0
perf_task_clock,218,2,15.17509727626459
perf_task_clock,182,3,29.18287937743191
perf_task_clock,161,4,37.35408560311284
perf_task_clock,143,5,44.3579766536965
perf_faults,282,1,0
perf_faults,223,2,20.921985815602838
perf_faults,192,3,31.914893617021278
perf_faults,134,4,52.4822695035461
perf_faults,127,5,54.96453900709219
weights,288,1,0
weights,242,2,15.972222222222221
weights,195,3,32.29166666666667
weights,153,4,46.875
weights,138,5,52.083333333333336
energy,228,1,0
energy,183,2,19.736842105263158
energy,147,3,35.526315789473685
energy,126,4,44.73684210526316
energy,104,5,54.385964912280706
perf_L1_dcache_loads,269,1,0
perf_L1_dcache_loads,198,2,26.394052044609666
perf_L1_dcache_loads,175,3,34.94423791821561
perf_L1_dcache_loads,152,4,43.49442379182156
perf_L1_dcache_loads,135,5,49.814126394052046
time,462,1,0
time,288,2,37.66233766233766
time,275,3,40.476190476190474
time,212,4,54.112554112554115
time,145,5,68.61471861471861
perf_time,486,1,0
